Grupos de 5,Alvos,Próximo Número,Resultado,Tipo de Green
"7, 10, 30, 22, 33","5, 10",9,Red,Red
"10, 30, 22, 33, 9","5, 10",26,Red,Red
"30, 22, 33, 9, 26","14, 20",2,Red,Red
"22, 33, 9, 26, 2","14, 20",19,Red,Red
"33, 9, 26, 2, 19","15, 19",3,Red,Red
"9, 26, 2, 19, 3",15,29,Red,Red
"26, 2, 19, 3, 29",15,5,Red,Red
"2, 19, 3, 29, 5",15,7,Red,Red
"19, 3, 29, 5, 7","35, 7",28,Green,+2 Vizinhos
"3, 29, 5, 7, 28","35, 7",10,Red,Red
"29, 5, 7, 28, 10","35, 7",27,Red,Red
"5, 7, 28, 10, 27",30,20,Red,Red
"7, 28, 10, 27, 20",22,23,Red,Red
"28, 10, 27, 20, 23","11, 16",24,Green,+1 Vizinho
"10, 27, 20, 23, 24","16, 24",25,Red,Red
"27, 20, 23, 24, 25","16, 24",10,Green,+3 Vizinhos
"20, 23, 24, 25, 10","16, 24",7,Red,Red
"23, 24, 25, 10, 7","5, 8",33,Green,+3 Vizinhos
"24, 25, 10, 7, 33","33, 5",33,Green,Alvo Direto
"25, 10, 7, 33, 33","33, 5",30,Green,+3 Vizinhos
"10, 7, 33, 33, 30","5, 10",27,Red,Red
"7, 33, 33, 30, 27","5, 10",29,Red,Red
"33, 33, 30, 27, 29","5, 10",1,Green,+3 Vizinhos
"33, 30, 27, 29, 1","5, 31",4,Red,Red
"30, 27, 29, 1, 4","36, 5",6,Green,+3 Vizinhos
"27, 29, 1, 4, 6","17, 25",35,Red,Red
"29, 1, 4, 6, 35","35, 7",22,Green,+3 Vizinhos
"1, 4, 6, 35, 22","9, 14",3,Green,+2 Vizinhos
"4, 6, 35, 22, 3","0, 32",6,Red,Red
"6, 35, 22, 3, 6","7, 28",5,Red,Red
"35, 22, 3, 6, 5","7, 28",25,Red,Red
"22, 3, 6, 5, 25","7, 28",25,Green,+1 Vizinho
"3, 6, 5, 25, 25","2, 34",20,Red,Red
"6, 5, 25, 25, 20","2, 34",2,Green,Alvo Direto
"5, 25, 25, 20, 2","2, 34",23,Red,Red
"25, 25, 20, 2, 23","2, 34",18,Red,Red
"25, 20, 2, 23, 18","2, 34",22,Green,+1 Vizinho
"20, 2, 23, 18, 22","9, 14",6,Red,Red
"2, 23, 18, 22, 6","2, 34",1,Green,+2 Vizinhos
"23, 18, 22, 6, 1","9, 14",0,Red,Red
"18, 22, 6, 1, 0","9, 14",7,Red,Red
"22, 6, 1, 0, 7",9,29,Green,+3 Vizinhos
"6, 1, 0, 7, 29","9, 35",1,Red,Red
"1, 0, 7, 29, 1",9,0,Red,Red
"0, 7, 29, 1, 0","35, 12",8,Red,Red
"7, 29, 1, 0, 8","35, 9",0,Green,+3 Vizinhos
"29, 1, 0, 8, 0","35, 12",13,Red,Red
"1, 0, 8, 0, 13","5, 24",15,Green,+2 Vizinhos
"0, 8, 0, 13, 15","0, 32",5,Red,Red
"8, 0, 13, 15, 5","8, 30",24,Red,Red
"0, 13, 15, 5, 24",8,6,Red,Red
"13, 15, 5, 24, 6",8,35,Red,Red
"15, 5, 24, 6, 35","0, 32",2,Green,Alvo Direto
"5, 24, 6, 35, 2","33, 1",18,Red,Red
"24, 6, 35, 2, 18","2, 34",18,Green,+2 Vizinhos
"6, 35, 2, 18, 18","7, 12",36,Red,Red
"35, 2, 18, 18, 36","7, 12",25,Red,Red
"2, 18, 18, 36, 25","34, 6",36,Green,+3 Vizinhos
"18, 18, 36, 25, 36","34, 6",33,Red,Red
"18, 36, 25, 36, 33","34, 6",5,Red,Red
"36, 25, 36, 33, 5","34, 6",33,Red,Red
"25, 36, 33, 5, 33","33, 1",12,Red,Red
"36, 33, 5, 33, 12","33, 1",31,Green,+3 Vizinhos
"33, 5, 33, 12, 31","33, 1",21,Red,Red
"5, 33, 12, 31, 21","33, 1",11,Red,Red
"33, 12, 31, 21, 11","33, 1",14,Green,+3 Vizinhos
"12, 31, 21, 11, 14",18,3,Red,Red
"31, 21, 11, 14, 3","33, 1",26,Green,+2 Vizinhos
"21, 11, 14, 3, 26","32, 15",16,Red,Red
"11, 14, 3, 26, 16","10, 23",22,Green,+3 Vizinhos
"14, 3, 26, 16, 22","14, 20",1,Green,+2 Vizinhos
"3, 26, 16, 22, 1","28, 14",16,Green,+3 Vizinhos
"26, 16, 22, 1, 16","14, 20",0,Red,Red
"16, 22, 1, 16, 0","14, 20",8,Red,Red
"22, 1, 16, 0, 8","14, 20",32,Red,Red
"1, 16, 0, 8, 32","5, 24",0,Red,Red
"16, 0, 8, 32, 0","0, 32",1,Red,Red
"0, 8, 32, 0, 1","0, 32",26,Green,+1 Vizinho
"8, 32, 0, 1, 26","0, 32",23,Red,Red
"32, 0, 1, 26, 23","0, 32",22,Red,Red
"0, 1, 26, 23, 22","0, 32",35,Green,+3 Vizinhos
"1, 26, 23, 22, 35",28,27,Red,Red
"26, 23, 22, 35, 27",28,12,Green,+1 Vizinho
"23, 22, 35, 27, 12","7, 28",34,Red,Red
"22, 35, 27, 12, 34","7, 28",8,Red,Red
"35, 27, 12, 34, 8","36, 13",3,Red,Red
"27, 12, 34, 8, 3","36, 13",2,Red,Red
"12, 34, 8, 3, 2","0, 35",16,Red,Red
"34, 8, 3, 2, 16","2, 34",11,Green,+1 Vizinho
"8, 3, 2, 16, 11","10, 23",32,Red,Red
"3, 2, 16, 11, 32",15,21,Green,+3 Vizinhos
"2, 16, 11, 32, 21","4, 15",31,Red,Red
"16, 11, 32, 21, 31","33, 1",1,Green,+1 Vizinho
"11, 32, 21, 31, 1","32, 4",32,Green,Alvo Direto
"32, 21, 31, 1, 32","32, 4",27,Red,Red
"21, 31, 1, 32, 27","32, 34",30,Red,Red
"31, 1, 32, 27, 30","33, 1",30,Green,+2 Vizinhos
"1, 32, 27, 30, 30","5, 36",31,Red,Red
"32, 27, 30, 30, 31","36, 11",19,Red,Red
"27, 30, 30, 31, 19","36, 11",12,Red,Red
"30, 30, 31, 19, 12","36, 5",16,Green,+2 Vizinhos
"30, 31, 19, 12, 16","5, 10",31,Green,+3 Vizinhos
"31, 19, 12, 16, 31","33, 1",16,Green,+1 Vizinho
"19, 12, 16, 31, 16","33, 1",17,Red,Red
"12, 16, 31, 16, 17","33, 1",8,Red,Red
"16, 31, 16, 17, 8","33, 1",21,Red,Red
"31, 16, 17, 8, 21","33, 1",14,Green,+3 Vizinhos
"16, 17, 8, 21, 14","33, 1",5,Green,+3 Vizinhos
"17, 8, 21, 14, 5","2, 34",26,Red,Red
"8, 21, 14, 5, 26","5, 8",8,Green,+3 Vizinhos
"21, 14, 5, 26, 8","32, 15",1,Green,+1 Vizinho
"14, 5, 26, 8, 1","33, 1",7,Red,Red
"5, 26, 8, 1, 7","5, 24",34,Red,Red
"26, 8, 1, 7, 34","3, 35",24,Green,+1 Vizinho
"8, 1, 7, 34, 24","5, 24",15,Red,Red
"1, 7, 34, 24, 15","1, 33",8,Green,+3 Vizinhos
"7, 34, 24, 15, 8","3, 2",2,Green,Alvo Direto
"34, 24, 15, 8, 2","2, 21",25,Green,+1 Vizinho
"24, 15, 8, 2, 25","2, 4",31,Red,Red
"15, 8, 2, 25, 31","2, 4",32,Green,+3 Vizinhos
"8, 2, 25, 31, 32","4, 19",8,Red,Red
"2, 25, 31, 32, 8","4, 19",18,Red,Red
"25, 31, 32, 8, 18","4, 19",3,Red,Red
"31, 32, 8, 18, 3","9, 14",24,Red,Red
"32, 8, 18, 3, 24","0, 32",35,Green,+3 Vizinhos
"8, 18, 3, 24, 35","7, 12",14,Red,Red
"18, 3, 24, 35, 14","7, 12",19,Red,Red
"3, 24, 35, 14, 19","0, 32",18,Red,Red
"24, 35, 14, 19, 18","33, 1",11,Red,Red
"35, 14, 19, 18, 11","0, 32",22,Green,+3 Vizinhos
"14, 19, 18, 11, 22","9, 14",12,Red,Red
"19, 18, 11, 22, 12","7, 18",31,Green,+3 Vizinhos
"18, 11, 22, 12, 31","18, 29",24,Red,Red
"11, 22, 12, 31, 24","18, 20",1,Green,+1 Vizinho
"22, 12, 31, 24, 1",20,5,Red,Red
"12, 31, 24, 1, 5","33, 1",8,Red,Red
"31, 24, 1, 5, 8","33, 1",30,Red,Red
"24, 1, 5, 8, 30",5,20,Red,Red
"1, 5, 8, 30, 20","5, 24",29,Red,Red
"5, 8, 30, 20, 29","5, 8",0,Red,Red
"8, 30, 20, 29, 0","36, 5",0,Green,+3 Vizinhos
"30, 20, 29, 0, 0","35, 12",19,Red,Red
"20, 29, 0, 0, 19","35, 12",23,Red,Red
"29, 0, 0, 19, 23","35, 12",26,Green,+2 Vizinhos
"0, 0, 19, 23, 26","0, 32",22,Red,Red
"0, 19, 23, 26, 22","0, 32",6,Red,Red
"19, 23, 26, 22, 6","0, 32",28,Green,Alvo Direto
"23, 26, 22, 6, 28",28,10,Red,Red
"26, 22, 6, 28, 10",28,27,Red,Red
"22, 6, 28, 10, 27",11,34,Red,Red
"6, 28, 10, 27, 34","34, 36",15,Red,Red
"28, 10, 27, 34, 15","3, 26",29,Red,Red
"10, 27, 34, 15, 29","11, 30",19,Green,+3 Vizinhos
"27, 34, 15, 29, 19","25, 2",17,Green,+1 Vizinho
"34, 15, 29, 19, 17","2, 21",6,Red,Red
"15, 29, 19, 17, 6",2,18,Red,Red
"29, 19, 17, 6, 18","2, 25",36,Red,Red
"19, 17, 6, 18, 36","2, 25",36,Green,+3 Vizinhos
"17, 6, 18, 36, 36","34, 6",27,Green,+2 Vizinhos
"6, 18, 36, 36, 27","34, 36",15,Red,Red
"18, 36, 36, 27, 15","34, 36",4,Red,Red
"36, 36, 27, 15, 4","34, 36",11,Green,+1 Vizinho
"36, 27, 15, 4, 11","36, 6",9,Red,Red
"27, 15, 4, 11, 9","36, 6",34,Green,+1 Vizinho
"15, 4, 11, 9, 34","2, 21",15,Green,+3 Vizinhos
"4, 11, 9, 34, 15","2, 21",32,Red,Red
"11, 9, 34, 15, 32",21,12,Red,Red
"9, 34, 15, 32, 12","21, 0",23,Red,Red
"34, 15, 32, 12, 23","21, 0",10,Red,Red
"15, 32, 12, 23, 10","0, 3",5,Red,Red
"32, 12, 23, 10, 5","5, 8",12,Red,Red
"12, 23, 10, 5, 12","5, 8",15,Red,Red
"23, 10, 5, 12, 15","5, 8",35,Red,Red
"10, 5, 12, 15, 35","0, 3",6,Red,Red
"5, 12, 15, 35, 6","0, 3",35,Green,+3 Vizinhos
"12, 15, 35, 6, 35","0, 3",8,Red,Red
"15, 35, 6, 35, 8","0, 32",35,Green,+3 Vizinhos
"35, 6, 35, 8, 35","0, 32",2,Red,Red
"6, 35, 8, 35, 2","2, 34",6,Green,+1 Vizinho
"35, 8, 35, 2, 6","0, 32",27,Green,+2 Vizinhos
"8, 35, 2, 6, 27","36, 11",27,Green,+2 Vizinhos
"35, 2, 6, 27, 27","34, 6",26,Red,Red
"2, 6, 27, 27, 26","34, 6",20,Red,Red
"6, 27, 27, 26, 20","34, 36",29,Red,Red
"27, 27, 26, 20, 29","34, 36",36,Green,Alvo Direto
"27, 26, 20, 29, 36","34, 36",26,Green,+2 Vizinhos
"26, 20, 29, 36, 26","35, 12",14,Red,Red
"20, 29, 36, 26, 14","9, 22",0,Red,Red
"29, 36, 26, 14, 0","35, 12",25,Red,Red
"36, 26, 14, 0, 25",19,1,Red,Red
"26, 14, 0, 25, 1",19,36,Red,Red
"14, 0, 25, 1, 36","33, 1",16,Green,+1 Vizinho
"0, 25, 1, 36, 16","4, 19",29,Red,Red
"25, 1, 36, 16, 29","34, 6",20,Green,+1 Vizinho
"1, 36, 16, 29, 20","1, 33",25,Red,Red
"36, 16, 29, 20, 25","34, 6",17,Green,+1 Vizinho
"16, 29, 20, 25, 17","33, 1",23,Green,+3 Vizinhos
"29, 20, 25, 17, 23","9, 22",27,Green,+2 Vizinhos
